Name,Address,City,State,Zip,Phone,Website,Type,Total Courts,Indoor,Outdoor
Anaheim Tennis Center,975 S State College Blvd,Anaheim,CA,92806,(714) 991-9090,https://anaheimtenniscenter.com/,Outdoor,18,0,18
Twila Reid Park,3100 W Orange Ave,Anaheim,CA,92804,,,Outdoor,3,0,3
iPickle Arcadia,405 S Santa Anita Ave,Arcadia,CA,91006,(626) 888-3675,https://ipickle.com/arcadia/,Outdoor,8,0,8
La Cienega Tennis Center,325 S La Cienega Blvd,Beverly Hills,CA,90211,(310) 285-6825,https://beverlyhillstennis.com/pickleball/,Outdoor,12,0,12
Roxbury Park Tennis Courts,487 South Roxbury Drive,Beverly Hills,CA,90212,(310) 285-6829,https://www.beverlyhills.org/534/Pickleball,Outdoor,4,0,4
PowerPlay Pickleball,19401 S. Main Street,Carson,CA,90248,310-819-8399,https://powerplaypb.com/,Indoor,9,9,0
iPickle Cerritos,19700 Bloomfield Ave,Cerritos,CA,90703,(562) 826-1587,https://ipickle.com/,Outdoor,10,0,10
Chatsworth Recreation Center,22360 Devonshire St,Chatsworth,CA,91311,(818) 341-6595,https://www.laparks.org/pickleball,Outdoor,4,0,4
Costa Mesa Downtown Recreation Center,31860 Anaheim Ave,Costa Mesa,CA,92627,,,Indoor,3,3,0
Arnold Cypress Park,8611 Watson St,Cypress,CA,90630,,,Outdoor,8,0,8
Encino Recreation Center,4935 Balboa Blvd,Encino,CA,91316,(818) 995-1690,https://www.laparks.org/pickleball,Outdoor,4,0,4
Fountain Valley Tennis Center,16400 Brookhurst Street,Fountain Valley,CA,92708,,,Outdoor,4,0,4
Smash Dink Pickleball,4400 San Fernando Rd,Glendale,CA,91204,(747) 307-3426,https://www.smashdinkpickleball.com/,Indoor,6,6,0
Granada Hills Recreation Center,16730 Chatsworth St,Granada Hills,CA,91344,(818) 363-3556,https://www.laparks.org/pickleball,Outdoor,4,0,4
Worthy Park,1831 17th Street,Huntington Beach,CA,92648,,,Outdoor,4,0,4
Portola Springs Community Park,900 Tomato Springs,Irvine,CA,92620,,,Outdoor,6,0,6
iPickle La Habra,351 S. Euclid Street,La Habra,CA,90631,(562) 690-5040,https://ipickle.com/la-habra/,Outdoor,17,0,17
Laguna Niguel Regional Park,28241 La Paz Road,Laguna Niguel,CA,92677,,,Outdoor,8,0,8
Pickleball Haven,25871 Atlantic Ocean Drive,Lake Forest,CA,92630,(949) 414-5090,https://pb-haven.com/,Indoor,14,14,0
Algin Sutton Recreation Center,8800 South Hoover St,Los Angeles,CA,90044,(323) 753-5808,https://www.laparks.org/pickleball,Outdoor,1,0,1
Cheviot Hills Recreation Center,1551 Motor Ave,Los Angeles,CA,90064,(310) 837-5186,https://www.laparks.org/pickleball,Indoor,1,1,0
Elysian Valley Recreation Center,1811 Ripple St,Los Angeles,CA,90039,(323) 666-5058,https://www.laparks.org/pickleball,Indoor,1,1,0
Felicia Mahood Multipurpose Center,11338 Santa Monica Blvd,Los Angeles,CA,90025,(310) 479-4119,https://www.laparks.org/pickleball,Indoor,1,1,0
Glassell Park Senior Center,3650 Verdugo Rd,Los Angeles,CA,90065,(323) 550-8809,https://www.laparks.org/pickleball,Indoor,1,1,0
Highland Park Adult Senior Citizen Center,6152 N. Figueroa St,Los Angeles,CA,90042,(323) 256-6867,https://www.laparks.org/pickleball,Indoor,1,1,0
Jackie Tatum Harvard Recreation Center,1535 West 62nd St,Los Angeles,CA,90047,(323) 778-2579,https://www.laparks.org/pickleball,Indoor,1,1,0
Lincoln Park Senior Center,3501 Valley Blvd,Los Angeles,CA,90031,(213) 847-1726,https://www.laparks.org/pickleball,Indoor,1,1,0
Montecito Recreation Center,4545 Homer St,Los Angeles,CA,90031,(213) 485-5148,https://www.laparks.org/pickleball,Outdoor,2,0,2
PIKL Los Angeles,439 S La Brea Ave,Los Angeles,CA,90036,,https://piklla.com/,Both,12,6,6
